time,alt_z,roll,pitch,m_hat,n0_x,n0_y,n0_z
0.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
0.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
1.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.407,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
2.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
3.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
4.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
